"Timestamp","Rank the bachelors [Alex]","Rank the bachelors [Elliott]","Rank the bachelors [Harvey]","Rank the bachelors [Sam]","Rank the bachelors [Sebastian]","Rank the bachelors [Shane]","Rank the bachelorettes [Abigail]","Rank the bachelorettes [Emily]","Rank the bachelorettes [Haley]","Rank the bachelorettes [Leah]","Rank the bachelorettes [Maru]","Rank the bachelorettes [Penny]","#1 Overall","#2 Overall","#3 Overall","How do you identify as?","What is your sexual orientation?","How old are you?",""
"2018/07/21 7:07:00 pm CET","#6","#5","#4","#3","#2","#1","#4","#1","#2","#6","#3","#5","","","","Male","Heterosexual","19-29",""
"2018/07/21 7:07:12 pm CET","#5","#4","#6","#1","#3","#2","#4","#2","#6","#1","#5","#3","","","","Male","Heterosexual","30-39",""
"2018/07/21 7:07:13 pm CET","#6","#5","#4","#1","#3","#2","#1","#4","#6","#2","#5","#3","","","","Male","Bisexual","19-29",""
"2018/07/21 7:07:14 pm CET","#4","#5","#2","#3","#6","#1","#6","#4","#5","#1","#3","#2","","","","Male","Bisexual","30-39",""
"2018/07/21 7:07:26 pm CET","#2","#5","#6","#1","#3","#4","#5","#2","#3","#1","#6","#4","","","","Male","Heterosexual","19-29",""
"2018/07/21 7:07:56 pm CET","#6","#1","#2","#4","#3","#5","#5","#3","#4","#6","#1","#2","","","","Female","Heterosexual","19-29",""
"2018/07/21 7:08:02 pm CET","#5","#1","#4","#6","#3","#2","#4","#2","#3","#1","#5","#6","","","","Female","Homosexual","19-29",""
"2018/07/21 7:09:11 pm CET","#3","#2","#1","#4","#5","#6","#1","#5","#6","#2","#4","#3","","","","Male","Heterosexual","19-29",""
"2018/07/21 7:09:32 pm CET","#3","#2","#1","#5","#4","#6","#2","#6","#1","#3","#5","#4","","","","Female","Heterosexual","19-29",""
"2018/07/21 7:09:40 pm CET","#3","#5","#6","#2","#1","#4","#1","#5","#4","#2","#3","#6","","","","Male","Bisexual","19-29",""
"2018/07/21 7:10:41 pm CET","#6","#4","#3","#5","#1","#2","#2","#5","#6","#4","#3","#1","","","","Female","Bisexual","19-29",""
"2018/07/21 7:10:52 pm CET","#1","#6","#5","#4","#2","#3","#6","#3","#1","#4","#5","#2","","","","Male","Homosexual","30-39",""
"2018/07/21 7:11:16 pm CET","#6","#1","#5","#4","#2","#3","#4","#3","#5","#2","#6","#1","","","","Female","Homosexual","19-29",""
"2018/07/21 7:11:45 pm CET","#5","#4","#2","#1","#3","#6","#2","#3","#6","#4","#5","#1","","","","Male","Heterosexual","15-18",""
"2018/07/21 7:11:49 pm CET","#6","#3","#5","#4","#2","#1","#1","#4","#2","#5","#6","#3","","","","Female","Heterosexual","15-18",""
"2018/07/21 7:12:04 pm CET","#6","#3","#4","#1","#2","#5","#4","#6","#2","#3","#5","#1","","","","Male","Heterosexual","30-39",""
"2018/07/21 7:12:09 pm CET","#6","#5","#4","#3","#1","#2","#4","#5","#6","#1","#2","#3","","","","Female","Bisexual","14 or under",""
"2018/07/21 7:12:35 pm CET","#4","#1","#2","#3","#5","#6","#3","#4","#5","#1","#6","#2","","","","Female","Heterosexual","19-29",""
"2018/07/21 7:13:25 pm CET","#2","#1","#3","#4","#5","#6","#3","#4","#5","#1","#6","#2","","","","Male","Bisexual","19-29",""
"2018/07/21 7:14:37 pm CET","#5","#6","#2","#4","#3","#1","#2","#5","#4","#3","#6","#1","","","","Female","Heterosexual","19-29",""
"2018/07/21 7:16:54 pm CET","#1","#4","#5","#2","#3","#6","#1","#5","#6","#2","#4","#3","","","","Male","Heterosexual","14 or under",""
"2018/07/21 7:16:56 pm CET","#6","#1","#2","#3","#4","#5","#6","#4","#1","#3","#5","#2","","","","Female","Bisexual","19-29",""
"2018/07/21 7:19:17 pm CET","#4","#2","#5","#3","#1","#6","#1","#3","#5","#4","#6","#2","","","","Male","Heterosexual","30-39",""
"2018/07/21 7:19:58 pm CET","#1","#3","#4","#5","#2","#6","#1","#2","#3","#4","#5","#6","","","","Female","Heterosexual","19-29",""
"2018/07/21 7:20:18 pm CET","#4","#3","#5","#1","#2","#6","#6","#1","#2","#4","#3","#5","","","","Male","Heterosexual","15-18",""
"2018/07/21 7:20:22 pm CET","#4","#6","#2","#5","#3","#1","#3","#2","#6","#4","#1","#5","","","","Female","Homosexual","15-18",""
"2018/07/21 7:21:42 pm CET","#3","#5","#6","#1","#2","#4","#1","#3","#5","#4","#2","#6","","","","Female","Bisexual","15-18",""
"2018/07/21 7:21:59 pm CET","#1","#2","#3","#4","#5","#6","#3","#1","#4","#2","#6","#5","","","","Male","Heterosexual","19-29",""
"2018/07/21 7:22:07 pm CET","#3","#5","#4","#6","#1","#2","#6","#1","#4","#2","#5","#3","","","","Female","Heterosexual","19-29",""
"2018/07/21 7:23:11 pm CET","#1","#3","#6","#2","#4","#5","#4","#3","#6","#1","#5","#2","","","","Female","Heterosexual","19-29",""
"2018/07/21 7:23:27 pm CET","#5","#2","#6","#3","#1","#4","#2","#1","#6","#5","#3","#4","","","","Female","Bisexual","30-39",""
"2018/07/21 7:23:58 pm CET","#1","#2","#3","#4","#5","#6","#2","#1","#5","#6","#4","#3","","","","Male","Heterosexual","19-29",""
"2018/07/21 7:24:09 pm CET","#2","#6","#1","#5","#3","#4","#6","#5","#4","#3","#2","#1","","","","Female","Heterosexual","19-29",""
"2018/07/21 7:24:11 pm CET","#3","#2","#1","#6","#5","#4","#2","#3","#5","#4","#6","#1","","","","Female","Bisexual","19-29",""
"2018/07/21 7:24:46 pm CET","#5","#4","#2","#1","#3","#6","#5","#3","#4","#1","#2","#6","","","","Male","Heterosexual","15-18",""
"2018/07/21 7:24:47 pm CET","#2","#5","#4","#3","#6","#1","#4","#3","#5","#1","#6","#2","","","","Male","Bisexual","19-29",""
"2018/07/21 7:24:54 pm CET","#2","#1","#3","#4","#5","#6","#2","#3","#6","#1","#5","#4","","","","Male","Heterosexual","30-39",""
"2018/07/21 7:24:55 pm CET","#4","#5","#3","#6","#2","#1","#1","#5","#6","#2","#3","#4","","","","Female","Bisexual","19-29",""
"2018/07/21 7:25:42 pm CET","#3","#4","#6","#2","#5","#1","#1","#4","#3","#2","#6","#5","","","","Male","Heterosexual","15-18",""
"2018/07/21 7:25:42 pm CET","#6","#4","#1","#5","#3","#2","#2","#5","#6","#1","#4","#3","","","","Male","Bisexual","19-29",""
"2018/07/21 7:26:15 pm CET","#6","#4","#5","#3","#1","#2","#2","#5","#6","#1","#4","#3","","","","Female","Heterosexual","19-29",""
"2018/07/21 7:26:18 pm CET","#4","#5","#6","#2","#3","#1","#4","#3","#5","#1","#6","#2","","","","Female","Bisexual","19-29",""
"2018/07/21 7:26:21 pm CET","#3","#4","#6","#2","#5","#1","#3","#2","#6","#4","#1","#5","","","","Female","","19-29",""
"2018/07/21 7:27:42 pm CET","#2","#3","#5","#4","#6","#1","#1","#2","#6","#3","#5","#4","","","","Female","Heterosexual","19-29",""
